magic,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,summary,sample1,2,pre
cy,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,5.00
brute.cpp,0.030,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.870,7.950,7.970,0.000,0.000,0.000,0.040,0.000,0.000
,ok,ok,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,ok(but time out),ok(but time out),ok(but time out),Time out.,Time out.,Time out.,,ok,ok
cy,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,100.00,5.00,5.00
segtree.cpp,0.020,0.010,0.220,0.230,0.380,0.380,1.620,1.650,1.320,1.520,1.740,1.510,1.570,1.750,0.640,0.790,0.650,2.180,1.630,2.040,21.850,0.000,0.000
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok
lx,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,5.00
force/force.cpp,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.680,4.750,4.640,0.000,0.000,0.000,0.020,0.000,0.000
,ok,ok,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,ok(but time out),ok(but time out),ok(but time out),Time out.,Time out.,Time out.,,ok,ok
lx,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,100.00,5.00,5.00
std,0.040,0.000,0.180,0.180,0.230,0.250,0.860,1.010,0.820,0.920,1.020,0.860,0.840,0.870,0.310,0.300,0.300,1.000,0.840,1.020,11.850,0.000,0.000
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok
lx,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
val.cpp,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,`val.cpp` compile failed.,,`val.cpp` compile failed.,`val.cpp` compile failed.
